condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,compute_time_s,r_max_mm,known_z_max_mm
0,0,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,126.8368013835315,0.0036633730014727917,150000.0,2900.0
0,1,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,70.08612383471699,0.0017899109989230055,150000.0,2900.0
0,2,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,70.43253269224321,0.0016060609996202402,150000.0,2900.0
0,3,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,129.8165548501804,0.0015921290032565594,150000.0,2900.0
0,4,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,119.09317900616556,0.0010920179993263446,150000.0,2900.0
0,5,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,121.46753856050748,0.001046895999024855,150000.0,2900.0
0,6,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,76.16219040727512,0.0010237589995085727,150000.0,2900.0
0,7,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,97.39113422141355,0.000923807001527166,150000.0,2900.0
0,8,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,75.00842175559764,0.0011348469997756183,150000.0,2900.0
0,9,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,94.47021973757013,0.0009415260028617922,150000.0,2900.0
