condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,tag_positionable,tag_total,rmse_tag_mm,rmse_tag_h_mm,rmse_tag_v_mm,rmse_tag_trueanchor_mm,delta_rmse_tag_mm,delta_rmse_tag_h_mm,delta_rmse_tag_v_mm,coverage,coverage_100mm,pdop_true,pdop_est,vdop_true,vdop_est,pdop_overconfidence,compute_time_s,r_max_mm,known_z_max_mm,height_pattern,unknown_z_std_mm
0,0,8,known,3,100.0,300.0,150.0,2555.9440423195674,117.30372576787201,2553.250826571856,1739.728216584871,69.19285954534787,1738.351695074824,1.0,1.0,32.0,1301.3194433690485,194.1040251028945,64.96486190909046,882.0,882.0,2449.7548992849966,119.37407493200278,2446.8446817901972,5514.2792921355485,-3064.524392850552,4.461000746818328,-3066.237133044065,0.049886621315192746,0.012471655328798186,11.82151237126152,7.652304070009838,11.800100890060442,7.614569940740809,3.2013297914883396,0.4619659359996149,150000.0,2900.0,H0,0.0
0,1,8,known,3,100.0,300.0,150.0,2048.738995525749,104.1029795094714,2046.0923834091914,1612.5384635775645,67.51084916842903,1611.1246325972581,1.0,1.0,35.0,1099.6194525284045,229.62468211982866,97.70774023509614,882.0,882.0,2280.224332033258,115.25405189341878,2277.3097083880944,5788.308244953164,-3508.0839129199057,2.922261037586395,-3509.908440891911,0.049886621315192746,0.01927437641723356,11.818631200188214,8.29321206788208,11.794642455263054,8.260176354863102,2.7495068417026283,0.40062198499799706,150000.0,2900.0,H0,0.0
0,2,8,known,3,100.0,300.0,150.0,1441.2662723645772,54.18212704156601,1440.247466571261,357.38707573790424,43.51779830043697,354.72767461190983,1.0,1.0,203.0,327.5577080508704,766.9028237236917,80.85189770982778,882.0,882.0,11502.659385319377,269.11913719574534,11499.510764579116,5770.513152821174,5732.146232498203,150.9374848523596,5730.207934606368,0.01473922902494331,0.0022675736961451248,11.979745217768414,8.552704739168185,11.956815208240377,8.520010605499408,13.449148235693798,0.6845346430018253,150000.0,2900.0,H0,0.0
0,3,8,known,3,100.0,300.0,150.0,1169.5780385842575,68.35350741483445,1167.5789422401765,1138.7459682600977,42.037082757111094,1137.9697992046622,1.0,1.0,37.0,1315.1579309912572,192.03777802109838,73.39813247420123,882.0,882.0,2172.046142264009,121.85809876722031,2168.6251515392883,5607.148712561263,-3435.102570297254,9.0324999560697,-3437.38832231451,0.07029478458049887,0.02040816326530612,11.288047686776848,9.450498009572534,11.265628969266618,9.420091250364768,2.2983404049859755,0.4615927550003107,150000.0,2900.0,H0,0.0
0,4,8,known,3,100.0,300.0,150.0,3113.304307734957,105.6791879857963,3111.510183461996,1371.7608231922686,56.07516250444511,1370.6142171286676,1.0,1.0,49.0,1249.9618144237245,202.33970082741362,79.08996254887147,882.0,882.0,3871.6731602289,148.04011359405808,3868.8418401898907,5903.29797132054,-2031.6248110916395,29.71037479717785,-2033.2700709071414,0.026077097505668934,0.005668934240362812,11.960376382381156,6.111778507310208,11.938941836134255,6.064717006312226,6.334773348867353,0.5532112119981321,150000.0,2900.0,H0,0.0
0,5,8,known,3,100.0,300.0,150.0,3522.4704075852237,172.98943183385987,3518.220065429025,1463.8491061656684,57.03481098384082,1462.7375827393182,1.0,1.0,28.0,1393.1747380698987,181.36248237621598,86.25643257838858,882.0,882.0,4266.399970483905,171.64304567020505,4262.945856214706,6127.420514687002,-1861.0205442030965,56.19877117731389,-1863.387042289417,0.017006802721088437,0.0045351473922902496,11.422563337873164,5.432805062366791,11.399779347399814,5.375695321463628,7.853033417372896,0.550836407001043,150000.0,2900.0,H0,0.0
0,6,8,known,3,100.0,300.0,150.0,1913.3490788854951,107.04088197772963,1910.352571453082,1249.4239110920216,64.65249388797959,1247.7500409306938,1.0,1.0,27.0,1994.9555012253143,126.08814454808338,61.50847687685644,882.0,882.0,2632.7223368335162,132.38098456511773,2629.391978725823,5789.788086083925,-3157.0657492504088,18.074768818244806,-3159.2676390787155,0.047619047619047616,0.009070294784580499,11.345938486828082,9.386163337034805,11.323305940304845,9.355032603447942,2.8048972112445925,0.39953106100074365,150000.0,2900.0,H0,0.0
0,7,8,known,3,100.0,300.0,150.0,1990.7062217159894,54.53984552698519,1989.9589609910659,1215.6285083348344,31.548733567794347,1215.2190533754163,1.0,1.0,43.0,2056.582929271197,122.91830297356883,66.75220807181636,882.0,882.0,2163.0277704521873,129.4334425245871,2159.151712989061,6215.00115727361,-4051.973386821423,10.39474727658883,-4054.709339041793,0.061224489795918366,0.017006802721088437,11.566695456143204,9.321465731110331,11.544649309400086,9.287050660959807,2.3204803116242716,0.4457326080009807,150000.0,2900.0,H0,0.0
0,8,8,known,3,100.0,300.0,150.0,2312.1726388230886,68.96191234920558,2311.1439951606794,1216.6034335473732,43.90225880596994,1215.8110487205615,1.0,1.0,87.0,848.465939075421,297.89890143105777,94.31898745544865,882.0,882.0,3063.093172960652,122.06976574550784,3060.659856718644,6164.453990981747,-3101.360818021095,6.03423429067297,-3102.701950150298,0.03741496598639456,0.007936507936507936,11.414623016809772,6.155407020108633,11.392236754133874,6.108549366942762,4.976264222583599,0.6326210379993427,150000.0,2900.0,H0,0.0
0,9,8,known,3,100.0,300.0,150.0,2837.930218019874,140.08714961701537,2834.4705877575284,1610.1602482676901,71.93541682497644,1608.5525545992232,1.0,1.0,44.0,2406.8637257314263,104.94303964169738,68.05710274598712,882.0,882.0,2585.8739572019394,148.57597395161667,2581.60208058863,5893.5808790472665,-3307.706921845327,31.20659361822318,-3310.809989729578,0.06462585034013606,0.017006802721088437,11.880307575002439,9.259234517011153,11.858897357300958,9.216171336484159,2.792751336464313,0.442977578000864,150000.0,2900.0,H0,0.0
